Year,Month,Lond,Latd,School,Bet_cp,Skj_cp,Yft_cp,Sum_cp,Chla,SSHA,SST
1998 ,10 ,163.5 ,1.5 ,2.0 ,0.1450 ,54.0850 ,6.1500 ,60.3800 ,0.1606 ,-1.2511 ,28.7200 
1998 ,5 ,153.5 ,-6.5 ,3.0 ,0.2200 ,52.6567 ,3.7867 ,56.6600 ,0.1248 ,-2.3273 ,29.5083 
1998 ,11 ,171.5 ,3.5 ,4.0 ,32.3400 ,52.6300 ,103.0000 ,187.9700 ,0.1582 ,2.1652 ,27.8292 
1998 ,10 ,169.5 ,3.5 ,2.0 ,0.0650 ,51.6050 ,2.7900 ,54.4650 ,0.1661 ,-0.7480 ,28.9500 
1998 ,10 ,157.5 ,2.5 ,2.7 ,0.7000 ,51.2333 ,4.7667 ,56.7000 ,0.1211 ,-1.5228 ,29.3708 
1998 ,2 ,170.5 ,-5.5 ,2.5 ,0.4850 ,50.0000 ,20.7650 ,71.2500 ,0.1081 ,0.6480 ,28.5375 
1998 ,1 ,165.5 ,-5.5 ,2.0 ,2.1900 ,50.0000 ,18.6450 ,70.8300 ,0.1267 ,-3.2206 ,29.3550 
1998 ,2 ,169.5 ,-3.5 ,2.0 ,1.0000 ,50.0000 ,8.5250 ,59.5200 ,0.0864 ,0.6957 ,28.2326 
1998 ,6 ,176.5 ,3.5 ,1.0 ,0.0400 ,50.0000 ,1.6300 ,51.6700 ,0.2235 ,-4.2939 ,28.6500 
1998 ,9 ,174.5 ,3.5 ,3.3 ,0.0425 ,49.9875 ,1.8650 ,51.8975 ,0.1430 ,-1.5149 ,29.1417 
1998 ,10 ,171.5 ,1.5 ,2.7 ,0.1433 ,49.6833 ,1.0933 ,50.9200 ,0.2789 ,-9.1536 ,27.2750 
1998 ,12 ,164.5 ,-1.5 ,2.7 ,0.0833 ,49.6800 ,3.5533 ,53.3167 ,0.0960 ,2.1504 ,29.0500 
1998 ,5 ,163.5 ,-2.5 ,2.0 ,0.0250 ,48.6200 ,1.1350 ,49.7850 ,0.1306 ,-0.4290 ,28.6917 
1998 ,8 ,173.5 ,4.5 ,2.7 ,0.0200 ,48.2567 ,0.8167 ,49.0900 ,0.1212 ,-3.0429 ,29.0150 
1998 ,10 ,170.5 ,4.5 ,2.0 ,0.0300 ,48.1900 ,1.3400 ,49.5600 ,0.1389 ,6.9427 ,28.7950 
1998 ,5 ,159.5 ,-2.5 ,2.7 ,0.0733 ,48.1033 ,0.3133 ,48.4900 ,0.0961 ,-8.3500 ,29.4550 
1998 ,9 ,177.5 ,2.5 ,1.0 ,0.6500 ,47.3900 ,27.7900 ,75.8300 ,0.1471 ,-3.2920 ,28.2208 
1998 ,4 ,163.5 ,-4.5 ,2.7 ,0.0200 ,47.3600 ,0.8900 ,48.2733 ,0.0721 ,-2.1385 ,29.1150 
1998 ,12 ,165.5 ,-4.5 ,5.0 ,2.8200 ,46.8800 ,12.8000 ,62.5000 ,0.0618 ,-0.2796 ,29.4600 
1998 ,4 ,164.5 ,-5.5 ,2.0 ,0.2850 ,46.7450 ,9.3300 ,56.3550 ,0.0793 ,4.6646 ,28.8875 
1998 ,12 ,163.5 ,0.5 ,2.7 ,2.8900 ,46.6500 ,13.5200 ,63.0567 ,0.1332 ,1.0604 ,28.7625 
1998 ,5 ,163.5 ,-1.5 ,2.8 ,0.0975 ,46.6025 ,4.2000 ,50.9025 ,0.2177 ,2.5950 ,28.1900 
1998 ,8 ,175.5 ,2.5 ,1.0 ,0.3700 ,46.4700 ,15.6600 ,62.5000 ,0.1539 ,4.5333 ,28.5650 
1998 ,2 ,160.5 ,-3.5 ,3.0 ,0.8100 ,46.3867 ,14.1633 ,61.3633 ,0.0814 ,3.7462 ,28.7792 
1998 ,11 ,163.5 ,3.5 ,2.0 ,0.0550 ,46.1250 ,2.4500 ,48.6300 ,0.1236 ,-0.1358 ,28.7792 
1998 ,12 ,164.5 ,-2.5 ,1.0 ,0.2200 ,45.6100 ,9.5900 ,55.4300 ,0.0718 ,2.7735 ,29.4083 
1998 ,5 ,158.5 ,-5.5 ,3.0 ,0.8380 ,45.0540 ,3.5060 ,49.3980 ,0.1415 ,-4.7105 ,29.2625 
1998 ,4 ,147.5 ,3.5 ,3.0 ,1.0500 ,44.9400 ,4.5700 ,50.5600 ,0.1180 ,-15.5389 ,28.7000 
1998 ,10 ,169.5 ,4.5 ,2.0 ,0.2150 ,44.8150 ,9.3050 ,54.3400 ,0.1483 ,3.4106 ,28.5900 
1998 ,5 ,158.5 ,-3.5 ,3.3 ,1.1025 ,44.4450 ,4.9725 ,50.5175 ,0.0727 ,0.1894 ,29.3417 
1998 ,3 ,145.5 ,1.5 ,3.0 ,3.3200 ,44.3800 ,14.4300 ,62.1300 ,0.1509 ,-5.3968 ,28.3750 
