Year,Month,Lond,Latd,School,Bet_cp,Skj_cp,Yft_cp,Sum_cp,Chla,SSHA,SST
1998,6,167.5,-4.5,2,0,10.385,0,10.385,0.05805833,-2.5027027,29.09
1998,3,161.5,-6.5,3,0.65,10.42,2.82,13.89,0.15939091,4.30588235,28.26923077
1998,1,161.5,-4.5,2,4.325,10.445,27.3,42.07,0.08326667,6.92941176,29.695
1998,8,156.5,3.5,3,0.36,10.48,1.55,12.38,0.07775,-3.72808989,29.59583333
1998,11,166.5,-2.5,3,0,10.49,0,10.49,0.11625,-0.7516129,29.03333333
1998,1,162.5,-5.5,1,0.4,10.5,16.94,27.83,0.089775,-4.30806452,29.22
1998,7,148.5,4.5,4,0,10.52,0,10.52,0.06195,-2.56764706,29.705
1998,2,150.5,-7.5,3,0,10.59,0,10.59,0.18134444,-0.48863636,28.89857143
1998,12,161.5,1.5,4,0,10.635,0,10.635,0.08990833,0,29.28
1998,7,163.5,-4.5,3,0.5,10.64,2.16,13.3,0.0929,-5.96428571,28.8362069
1998,2,156.5,-5.5,3.5,2.475,10.685,8.22,21.38,0.11017273,9.51333333,28.58382353
1998,3,149.5,5.5,1,0,10.71,0,10.71,0.126325,-0.0745098,28.165
1998,8,148.5,3.5,3,0,10.71,0,10.71,0.05439375,-3.02234043,30.1375
1998,4,162.5,-7.5,3,0.07666667,10.75333333,3.28333333,14.11333333,0.12255556,-24.12982456,29.17
1998,1,160.5,-3.5,2.66666667,1.09666667,10.77333333,13.18,25.04666667,0.08098125,-3.14285714,29.14583333
1998,11,167.5,4.5,3,1.09,10.83,4.74,16.67,0.15918333,2.65465116,28.4
1998,3,149.5,3.5,2,0,10.85,0,10.85,0.1446625,-1.895,28.145
1998,4,160.5,-3.5,2,0.08,10.885,3.51,14.48,0.075975,-1.31481481,29.29583333
1998,1,161.5,-1.5,2.66666667,1.39666667,10.91666667,8.25,20.56333333,0.12181667,-9.7547619,29.04
1998,9,175.5,5.5,2,0.28,10.96,12.05,23.29,0.08974375,7.6,29.45
1998,1,157.5,-0.5,2,1.325,10.96,7.575,19.865,0.10019375,4.81764706,28.65416667
1998,3,140.5,1.5,3,0,11.05,0,11.05,0.16875833,-7.56705882,28.21
1998,3,141.5,1.5,3,0,11.05,0,11.05,0.15351111,5,28.375
1998,3,142.5,3.5,3,0,11.05,0,11.05,0.08885,-3.44197531,28.5875
1998,9,178.5,4.5,1,0.25,11.08,10.82,22.15,0.0976,8.48787879,28.836
1998,3,149.5,4.5,2.66666667,0.16,11.09333333,5.02,16.27,0.12090833,-0.01707317,28.236
1998,8,184.5,-2.5,3,0.295,11.1,12.705,24.1,0,-8.03671875,28.21
1998,9,173.5,4.5,3,0.028,11.104,1.238,12.372,0.11394167,0.64489796,29.335
1998,1,154.5,-1.5,3.5,0.895,11.155,3.895,15.945,0.1011,2.65961538,28.825
1998,1,156.5,-1.5,2.66666667,0.74666667,11.19,7.25,19.18666667,0.09051111,-6.11692308,29.19444444
1998,11,170.5,3.5,1,0,11.24,0,11.24,0.16344375,0.11081081,28.125
1998,12,160.5,-5.5,1,0,11.24,0,11.24,0.11809375,-1.35307692,29.6875
1998,4,146.5,2.5,3,0,11.26,0,11.26,0.145,-9.23516484,28.69
1998,3,165.5,-6.5,4,2.71,11.36,8.65,22.73,0.11425833,-11.52833333,28.545
1998,3,147.5,-1.5,4,0,11.43,0,11.43,0.11815556,-7.095,29.53846154
